_recordId,_createdTime,Status,Date,Sujet,Pertinence_Locale,Score,Source,Reseaux,Hashtags_Locaux,Format,Angle
rec03a5YaLoPYYa76,2026-04-16T05:01:05.000Z,erreur,2026-04-16,Aucune idée générée,,,,,,,
rec0ABDwjU2IlCf9T,2026-04-15T02:31:34.000Z,nouveau,2026-04-12,Accepter les paiements Visa sur ton site,Beaucoup d'entrepreneurs à Dakar et Abidjan bloquent sur l'encaissement hors Mobile Money.,9,https://trends.google.com/trending/rss?geo=SN,"Facebook, Instagram","#EcommerceSN, #Team221, #DigitalAfrica",Carrousel,Pratique et décomplexé
rec0YhmWVOAuOYTYI,2026-04-15T02:31:31.000Z,nouveau,2026-04-10,Lamine Yamal : La leçon de Personal Branding pour les jeunes entrepreneurs,La jeunesse sénégalaise et ivoirienne est passionnée par le foot et cherche des modèles de réussite précoce.,9,https://trends.google.com/trending/rss?geo=CI,"Instagram, TikTok, LinkedIn","#DakarDigital, #AbidjanBusiness, #LamineYamal, #PersonalBrandingAF",Carrousel ou Reel,Comment bâtir une autorité rapide comme la pépite du Barça.
rec1ER4a1aWGIjhbN,2026-04-15T02:31:35.000Z,nouveau,2026-04-13,Leadership féminin : L'exemple Marie Louise Eta,"Forte croissance des femmes entrepreneures à Abidjan, Dakar et Douala.",80,https://trends.google.com/trending/rss?geo=CI,"LinkedIn, Instagram","#FemmeEntrepreneure, #Leadership, #DigitalAfrica",Image citation + Analyse,S'inspirer de la première femme coach en Bundesliga pour s'imposer dans le digital en Afrique.
rec1L86FRaYlQ1nq2,2026-04-17T05:01:05.000Z,nouveau,2026-04-17,Le Personal Branding à la Cristiano Ronaldo,Le football est le sujet de discussion numéro 1 ; utiliser Ronaldo permet d'illustrer la discipline marketing.,9,https://trends.google.com/trending/rss?geo=SN,"LinkedIn, Facebook","#PersonalBranding, #EntrepreneurAfrique, #MaxMorrys",Post carrousel,Comment construire une image de marque aussi solide que CR7 pour ton business à Dakar ou Abidjan.
rec1UcTQq2grHz7fJ,2026-04-22T05:01:05.000Z,nouveau,2026-04-22,L'expérience client à la Tim Cook,Le luxe et l'aspirationnel fonctionnent fort en Afrique Centrale et de l'Ouest.,85,https://trends.google.com/trending/rss?geo=SN,"Facebook, LinkedIn","#MarketingDakar, #ExperienceClient, #AppleAfrica",Carrousel,Pourquoi les gens paient cher pour Apple et comment tu peux appliquer ça à ton petit commerce à Libreville.
rec1a588rnWxDx7Tq,2026-04-15T02:31:31.000Z,nouveau,2026-04-10,Leçon de Marketing : Ce que le match Maroc-Sénégal U15 nous apprend sur la détection de talents digitaux,Forte audience pour le foot local et besoin de structuration RH dans le digital.,9,https://trends.google.com/trending/rss?geo=SN,"LinkedIn, Facebook","#DigitalSN, #Kebetu, #MarketingAfrique",Carrousel,Analogie entre le scouting sportif et le recrutement de talents en agence digitale.
rec2VSByNkudN56Cl,2026-04-23T05:01:07.000Z,nouveau,2026-04-23,L'effet Lamine Yamal en business,Inspirer la jeunesse de Douala et Kinshasa qui hésite à se lancer.,8,https://trends.google.com/trending/rss?geo=SN,"LinkedIn, Instagram","#JeunesseAfricaine, #Entreprendre, #Cameroun",Carrousel motivationnel,L'âge n'est pas une barrière pour percer dans le digital en Afrique.
rec2nc76iHNu4LSuj,2026-04-15T02:31:36.000Z,nouveau,2026-04-14,Le marketing d'actualité (Newsjacking),Les algorithmes favorisent les sujets chauds qui font réagir en Afrique francophone.,7,https://trends.google.com/trending/rss?geo=SN,"Facebook, Twitter (X)","#ActuDigitale, #MaxMorrysConseils, #MarketingAfrique",Post texte avec image humoristique,Apprendre à rebondir sur les tendances (comme les résultats de Manchester United) pour créer de l'engagement.
rec2ueIv5uLuSdJK8,2026-04-22T05:01:05.000Z,nouveau,2026-04-22,Discipline NBA : Gagner le match des ventes,"La NBA gagne en popularité chez les jeunes pros urbains (Dakar, Abidjan).",80,https://trends.google.com/trending/rss?geo=CI,LinkedIn,"#VendreEnAfrique, #Discipline, #NBAAfrica",Post narratif,La régularité des Spurs appliquée à la prospection commerciale quotidienne.
