_recordId,_createdTime,URL_Post,Reseau,Heure_GMT,Sujet,Status_Media,Rubrique,Hashtags,Semaine,Status_Contenu,Format,Jour,Contenu,Date
rec0JUOXBsTAPTBlX,2026-04-15T15:00:03.000Z,published,facebook,,,,,,,,,,,
rec2r0pAdQoYdMPfe,2026-04-15T02:32:14.000Z,,instagram,18:30,Sondage : Sénégal vs Maroc U15,a_produire,Actu,#GaindeNdiaye #Senegal #U15 #FootballAfrique,S15,a_produire,story,Jeudi,Fierté locale ! Qui a montré la meilleure stratégie ce soir ?,2026-04-16
rec31WdZWrx2xCdqv,2026-04-15T02:32:18.000Z,,linkedin,10:00,L'importance du Personal Branding à Abidjan,a_produire,Behind the scenes / personal branding,AbidjanBusiness PersonalBranding Civ225,S15,a_produire,article,Samedi,"À Abidjan, si on ne te voit pas, tu n'existes pas dans le milieu des affaires.",2026-04-18
rec8bx8C6WvrhzdZ0,2026-04-15T02:32:15.000Z,,tiktok,18:00,Discipline vs Motivation,a_produire,Motivation,ConseilsBusiness Dakar Douala Succès,S15,a_produire,reel,Lundi,"Tu attends d'être motivé pour poster ? Tu vas attendre longtemps, mon frère.",2026-04-13
recA3lkRp8b9xMDRv,2026-04-15T02:32:18.000Z,,instagram,16:00,Lamine Yamal : La leçon de Personal Branding pour les jeunes entrepreneurs,a_produire,Behind the scenes / personal branding,DakarDigital AbidjanBusiness LamineYamal PersonalBrandingAF,S15,a_produire,carrousel,Samedi,17 ans et déjà une marque mondiale : tu attends quoi pour lancer la tienne ?,2026-04-18
recBwXJ8Yl8GSYLg4,2026-04-15T02:32:15.000Z,,twitter,12:00,Pourquoi mon compte publicitaire est bloqué ?,n/a,Question-reponse / FAQ,FacebookAds Entreprenariat AideDigital,S15,a_produire,texte,Jeudi,Ton compte Facebook Ads est rouge ? On en parle ici.,2026-04-16
recCAuOMXQOM16e8t,2026-04-15T02:32:18.000Z,,linkedin,11:00,Gestion de budget publicitaire en FCFA,a_produire,Question-reponse / FAQ,FCFA EcomAfrique MaxMorrys,S15,a_produire,texte,Jeudi,Ta carte bancaire est encore bloquée par Meta ou Google ?,2026-04-16
recEqpHmeOcfGislR,2026-04-15T02:32:15.000Z,,linkedin,09:00,Comment une PME de Douala a doublé ses ventes via Facebook Ads,a_produire,Etude de cas,FacebookAds GrowthMarketing CamerounBusiness,S15,a_produire,article,Mercredi,Pas besoin de millions pour réussir tes publicités en Afrique francophone.,2026-04-15
recF5cpu2iMCASQ49,2026-04-15T02:32:15.000Z,,instagram,10:00,Optimiser son catalogue WhatsApp Business,a_produire,Tips pratique,WhatsAppBusiness VenteEnLigne AstuceDigital,S15,a_produire,carrousel,Mardi,Tes clients galèrent à voir tes prix ? Voici comment régler ça en 2 minutes.,2026-04-14
recJ1WLmi7fG2ySIu,2026-04-15T02:32:15.000Z,,facebook,12:00,Guide Gratuit : Gérer son budget Ads en FCFA,a_produire,Promo,#FCFA #EcomAfrique #MaxMorrys #AdsTips,S15,a_produire,article,Samedi,Marre des blocages de cartes bancaires ? Voici notre guide pour payer vos pubs Meta en toute sérénité.,2026-04-18
recJSGgQg4I1IaOdQ,2026-04-15T02:32:15.000Z,,facebook,20:00,Le lien direct WhatsApp,a_produire,Tips pratique,,S15,a_produire,story,Mardi,"Arrête de donner ton numéro, donne un lien direct !",2026-04-14
recJiuW7dyPFR8DjR,2026-04-15T02:32:17.000Z,,facebook,10:00,Storytelling : De Sandaga au Digital,a_produire,Etude de cas,SuccessStorySN EntrepreneurAfrique MaxMorrys,S15,a_produire,video,Mercredi,Tu te demandes comment passer du commerce physique au succès sur internet ?,2026-04-15
recKzsSfCGQl9bt1W,2026-04-15T02:32:14.000Z,,youtube,15:00,Storytelling : De Sandaga au Digital,a_produire,Behind the scenes,#SuccessStorySN #EntrepreneurAfrique #MaxMorrys #DigitalTransformation,S15,a_produire,video,Mercredi,Comment les commerçants de Sandaga conquièrent le web : l'incroyable transition.,2026-04-15
recMk3CcupQMAWBmU,2026-04-15T02:32:14.000Z,,linkedin,07:00,Discipline de Champion : Ce que les Warriors (NBA) enseignent,a_produire,Motivation,#NBAAfrica #Discipline #EntreprendreAuSenegal #MaxMorrys,S15,a_produire,texte,Vendredi,La constance de Stephen Curry est la clé que tout entrepreneur africain doit posséder.,2026-04-17
recOk0imGfCOvHpoZ,2026-04-15T02:32:14.000Z,,facebook,12:00,Le duel Wave vs Orange Money pour votre business,a_produire,Étude de cas,#FintechAfrique #WaveSN #OrangeMoney #BusinessCFA,S15,a_produire,infographie,Mercredi,Wave ou Orange Money ? Le choix qui impacte directement vos marges bénéficiaires.,2026-04-15
recPilw3rm4raBCYJ,2026-04-15T02:32:14.000Z,,facebook,08:00,Vendre pendant la Tabaski : 3 erreurs fatales sur Facebook Ads,a_produire,Tips,#Tabaski2026 #EcomSN #Team221 #VendreEnLigne,S15,a_produire,texte,Mardi,La Tabaski arrive ! Ne brûlez pas votre budget publicitaire comme le charbon du mouton. 🐑,2026-04-14
recSf6CjvFFhI6ZZ1,2026-04-15T02:32:17.000Z,,tiktok,18:30,Vendre pendant la Tabaski : 3 erreurs fatales sur Facebook Ads,a_produire,Tips pratique,Tabaski2026 EcomSN Team221,S15,a_produire,reel,Mardi,Ne jette pas ton argent par la fenêtre pour cette Tabaski !,2026-04-14
recSzGACqn8Xo5iaL,2026-04-15T02:32:15.000Z,,facebook,08:00,Relancer la machine après les fêtes,a_produire,Motivation de la semaine,Motivation EntrepreneurAfrique MaxMorrys,S15,a_produire,texte,Lundi,"La fête est finie à Dakar et Abidjan, mais ton business, lui, ne doit pas dormir.",2026-04-13
recUlsNPs5pMM0oA0,2026-04-15T02:32:14.000Z,,facebook,08:00,Tactique Marketing vs Tactique de Terrain (U15),a_produire,Actu,#TeamSenegal #MarketingDigitalSN #Gainde #Kebetu,S15,a_produire,carrousel,Lundi,Pourquoi le match Sénégal-Maroc U15 est le meilleur cours de stratégie marketing de votre semaine ?,2026-04-13
recWCNgLJiT4w4OCb,2026-04-15T02:32:17.000Z,,linkedin,08:15,Discipline de Champion : Ce que les Warriors (NBA) enseignent à l'entrepreneur digital,a_produire,Motivation de la semaine,EntreprendreAuSenegal NBAAfrica Discipline MaxMorrys,S15,a_produire,reel,Lundi,Tu penses que la réussite sur le digital est une question de chance ?,2026-04-13
recXNaMEav6W5cvi1,2026-04-15T02:32:14.000Z,,tiktok,12:00,Liquider ses stocks via WhatsApp avant la fête,a_produire,Tips,#BusinessAbidjan #DakarBusiness #TabaskiTips #VenteFlash,S15,a_produire,reel,Mardi,"Commerçants, voici comment vider vos étagères avant la Tabaski en utilisant uniquement WhatsApp.",2026-04-14
recZ3jSix3XueoCKy,2026-04-15T02:32:17.000Z,,facebook,18:00,Ce qu'il ne fallait pas rater cette semaine,a_produire,Recap + CTA,RecapSemaine FormationDigital MaxMorrys,S15,a_produire,texte,Dimanche,Tu as été débordé ? Voici l'essentiel pour booster ton business demain.,2026-04-19
recb9mcuuMHkHsXuN,2026-04-15T02:32:18.000Z,,facebook,20:00,Newsjacking : Pourquoi ton business doit parler de la Ligue des Champions,a_produire,Tendance de la semaine,UCL Team221 Team225 MarketingSportif,S15,a_produire,texte,Vendredi,"C'est soir de match, mais est-ce que ton business marque des points ?",2026-04-17
recbl2RoJxI4HNzNH,2026-04-15T02:32:15.000Z,,facebook,17:00,Vendre via WhatsApp : La méthode Wave/Orange Money,a_produire,Tips,#EcomAfrique #WaveSenegal #OrangeMoneyCI #VendreEnLigne,S15,a_produire,infographie,Dimanche,Le secret de la confiance client en Afrique : l'alliance Social Media + Mobile Money.,2026-04-19
recfNOSkPIgxeadRT,2026-04-15T02:32:17.000Z,,youtube,16:00,Le format Shorts explose au Sénégal,a_produire,Tendance de la semaine,YouTubeShorts Visibilité MaxMorrys,S15,a_produire,reel,Vendredi,"Si tu ne fais pas de vidéos courtes, tu es invisible.",2026-04-17
recg0uE6e7wQgvO4a,2026-04-15T02:32:17.000Z,,facebook,15:00,De Douala à Dakar : Mon parcours,a_produire,Personal branding,Parcours Entrepreneur AfriqueFrancophone,S15,a_produire,texte,Samedi,"Je n'ai pas commencé expert, j'ai commencé curieux.",2026-04-18
rechb37JLwRTP6miA,2026-04-15T02:32:17.000Z,,facebook,09:00,Vendre via WhatsApp : La méthode Wave/Orange Money pour rassurer tes clients,a_produire,Tips pratique,EcomAfrique WaveSenegal OrangeMoneyCI VendreEnLigne,S15,a_produire,carrousel,Mardi,Tu en as marre des clients qui disent 'je vais réfléchir' au moment de payer ?,2026-04-14
recipY9VoJG5DLhJV,2026-04-15T02:32:17.000Z,,instagram,15:00,Le digital au service des PME : Le cas des boutiques de sport à Douala,a_produire,Etude de cas,DoualaBusiness Civ225 SocialCommerce,S15,a_produire,reel,Mercredi,"À Douala, on ne rigole pas avec le business des maillots !",2026-04-15
reckaRZXt8YF6fZxa,2026-04-15T02:32:15.000Z,,facebook,14:00,Le secret du copywriting à la sauce Sandaga,n/a,Etude de cas,Copywriting VendreEnAfrique Storytelling,S15,a_produire,texte,Mercredi,Tu connais l'art de la tchatche au marché ? C'est ça le vrai marketing.,2026-04-15
recqHP0tFVj5iA1RJ,2026-04-15T02:32:18.000Z,,facebook,18:00,Récapitulatif : Prépare ta Tabaski et ton business,n/a,Recap + CTA formation,MarketingDigital AfriqueFrancophone MaxMorrys,S15,a_produire,texte,Dimanche,"Une semaine intense s'achève, mais ton succès ne fait que commencer.",2026-04-19
recteApXKRD8kXFGI,2026-04-15T02:32:17.000Z,,instagram,10:00,Ma routine de formateur,a_produire,Behind the scenes,,S15,a_produire,story,Samedi,Dans les coulisses de ma prochaine formation à Abidjan.,2026-04-18
recvklfhrysUY3V0K,2026-04-15T02:32:15.000Z,,facebook,19:00,Direct : Je réponds à tes blocages marketing,a_produire,Question-reponse / FAQ,LiveMaxMorrys MarketingDigital DirectDakar,S15,a_produire,live,Jeudi,"Pose-moi ta question sur ton business, je te réponds sans filtre.",2026-04-16
recwb2AqBU3ohht4H,2026-04-15T02:32:14.000Z,,facebook,17:00,Leçon de Marketing : Recruter comme un scout de football,a_produire,Tips,#DigitalSN #Kebetu #MarketingAfrique #RH,S15,a_produire,carrousel,Vendredi,Comment détecter les futurs cracks du digital pour votre agence ?,2026-04-17
recxnxivfxRg4bmqw,2026-04-15T02:32:17.000Z,,linkedin,11:00,L'IA générative pour créer du contenu local,a_produire,Tendance de la semaine,IntelligenceArtificielle DigitalAfrica Innovation,S15,a_produire,texte,Vendredi,"Utiliser l'IA c'est bien, mais l'adapter à nos réalités à Kinshasa ou Lome, c'est mieux.",2026-04-17
recysy2mn3lm97iv8,2026-04-15T02:32:14.000Z,,linkedin,07:00,Lamine Yamal : La leçon de Personal Branding pour entrepreneurs,a_produire,Motivation,#PersonalBranding #SuccessStory #LinkedInAbidjan #MaxMorrys,S15,a_produire,carrousel,Lundi,"À seulement 18 ans, Lamine Yamal ne domine pas que le terrain, il domine son image de marque.",2026-04-13
recz6QNtBmFQaE2rO,2026-04-15T02:32:14.000Z,,twitter,12:00,Marketing en temps réel : Soirs de Ligue des Champions,n/a,Actu,#UCL #MarketingDigital #Abidjan #Dakar #Kebetu,S15,a_produire,texte,Jeudi,Ce soir c'est l'UCL ! ⚽️ Prêts à transformer l'audience du match en clients pour votre business ?,2026-04-16
reczyorim98WqhxDL,2026-04-15T02:32:18.000Z,,linkedin,09:30,Le duel Wave vs Orange Money pour ton business,a_produire,Tendance de la semaine,FintechAfrique WaveSN OrangeMoney,S15,a_produire,carrousel,Vendredi,Lequel de ces deux géants va vraiment booster tes marges cette année ?,2026-04-17
