date,pilier,canal,format,angle,cta,statut
2026-06-28,Apprendre,Instagram/Facebook,Carrousel,Méthode simple pour maîtriser un outil digital,Télécharger la checklist,à produire
2026-06-29,Progresser,LinkedIn,Post carré,Une erreur fréquente qui bloque la croissance,"Commenter ""AUDIT""",à produire
2026-06-30,Partager,YouTube Shorts,Story,Question à la communauté sur un problème digital,Répondre en DM,à produire
2026-07-01,Impacter,Newsletter,Short/Reel,Mini cas pratique : avant/après digital,Voir la vidéo complète,à produire
2026-07-02,Accompagner,Communauté,Live,Session diagnostic : améliorer son tunnel digital,Réserver sa place,à produire
2026-07-03,Apprendre,Instagram/Facebook,Carrousel,Méthode simple pour maîtriser un outil digital,Télécharger la checklist,à produire
2026-07-04,Progresser,LinkedIn,Post carré,Une erreur fréquente qui bloque la croissance,"Commenter ""AUDIT""",à produire
2026-07-05,Partager,YouTube Shorts,Story,Question à la communauté sur un problème digital,Répondre en DM,à produire
2026-07-06,Impacter,Newsletter,Short/Reel,Mini cas pratique : avant/après digital,Voir la vidéo complète,à produire
2026-07-07,Accompagner,Communauté,Live,Session diagnostic : améliorer son tunnel digital,Réserver sa place,à produire
2026-07-08,Apprendre,Instagram/Facebook,Carrousel,Méthode simple pour maîtriser un outil digital,Télécharger la checklist,à produire
2026-07-09,Progresser,LinkedIn,Post carré,Une erreur fréquente qui bloque la croissance,"Commenter ""AUDIT""",à produire
2026-07-10,Partager,YouTube Shorts,Story,Question à la communauté sur un problème digital,Répondre en DM,à produire
2026-07-11,Impacter,Newsletter,Short/Reel,Mini cas pratique : avant/après digital,Voir la vidéo complète,à produire
2026-07-12,Accompagner,Communauté,Live,Session diagnostic : améliorer son tunnel digital,Réserver sa place,à produire
2026-07-13,Apprendre,Instagram/Facebook,Carrousel,Méthode simple pour maîtriser un outil digital,Télécharger la checklist,à produire
2026-07-14,Progresser,LinkedIn,Post carré,Une erreur fréquente qui bloque la croissance,"Commenter ""AUDIT""",à produire
2026-07-15,Partager,YouTube Shorts,Story,Question à la communauté sur un problème digital,Répondre en DM,à produire
2026-07-16,Impacter,Newsletter,Short/Reel,Mini cas pratique : avant/après digital,Voir la vidéo complète,à produire
2026-07-17,Accompagner,Communauté,Live,Session diagnostic : améliorer son tunnel digital,Réserver sa place,à produire
2026-07-18,Apprendre,Instagram/Facebook,Carrousel,Méthode simple pour maîtriser un outil digital,Télécharger la checklist,à produire
2026-07-19,Progresser,LinkedIn,Post carré,Une erreur fréquente qui bloque la croissance,"Commenter ""AUDIT""",à produire
2026-07-20,Partager,YouTube Shorts,Story,Question à la communauté sur un problème digital,Répondre en DM,à produire
2026-07-21,Impacter,Newsletter,Short/Reel,Mini cas pratique : avant/après digital,Voir la vidéo complète,à produire
2026-07-22,Accompagner,Communauté,Live,Session diagnostic : améliorer son tunnel digital,Réserver sa place,à produire
2026-07-23,Apprendre,Instagram/Facebook,Carrousel,Méthode simple pour maîtriser un outil digital,Télécharger la checklist,à produire
2026-07-24,Progresser,LinkedIn,Post carré,Une erreur fréquente qui bloque la croissance,"Commenter ""AUDIT""",à produire
2026-07-25,Partager,YouTube Shorts,Story,Question à la communauté sur un problème digital,Répondre en DM,à produire
2026-07-26,Impacter,Newsletter,Short/Reel,Mini cas pratique : avant/après digital,Voir la vidéo complète,à produire
2026-07-27,Accompagner,Communauté,Live,Session diagnostic : améliorer son tunnel digital,Réserver sa place,à produire
